30.100 	0.044 	-0.022 	-0.038 	-2.420 	4.210 	5.310
29.500 	0.070 	-0.035 	-0.061 	-2.370 	4.150 	5.200
28.900 	0.095 	-0.047 	-0.083 	-2.300 	4.070 	5.070
28.600 	0.121 	-0.059 	-0.106 	-2.260 	4.050 	5.010
28.600 	0.148 	-0.071 	-0.130 	-2.230 	4.070 	4.970
28.800 	0.178 	-0.084 	-0.156 	-2.210 	4.120 	4.970
27.600 	0.198 	-0.092 	-0.176 	-2.080 	3.970 	4.730
27.000 	0.224 	-0.102 	-0.199 	-2.000 	3.930 	4.600
25.900 	0.244 	-0.108 	-0.219 	-1.880 	3.790 	4.370
25.100 	0.266 	-0.115 	-0.240 	-1.770 	3.710 	4.200
24.800 	0.295 	-0.123 	-0.268 	-1.700 	3.700 	4.110
23.500 	0.311 	-0.126 	-0.285 	-1.560 	3.530 	3.860
22.700 	0.335 	-0.130 	-0.309 	-1.450 	3.450 	3.700
21.400 	0.351 	-0.130 	-0.326 	-1.310 	3.290 	3.470
20.300 	0.369 	-0.130 	-0.345 	-1.190 	3.150 	3.260
19.500 	0.394 	-0.132 	-0.371 	-1.080 	3.050 	3.120
18.100 	0.406 	-0.128 	-0.385 	-0.946 	2.860 	2.890
17.300 	0.433 	-0.127 	-0.414 	-0.846 	2.760 	2.780
15.600 	0.439 	-0.119 	-0.422 	-0.710 	2.510 	2.540
14.300 	0.451 	-0.112 	-0.437 	-0.596 	2.310 	2.360
13.000 	0.466 	-0.105 	-0.454 	-0.491 	2.120 	2.210
11.700 	0.485 	-0.098 	-0.475 	-0.398 	1.930 	2.090
10.100 	0.487 	-0.086 	-0.479 	-0.302 	1.680 	1.920
8.570 	0.491 	-0.074 	-0.485 	-0.219 	1.430 	1.780
7.110 	0.498 	-0.063 	-0.494 	-0.151 	1.190 	1.680
5.730 	0.515 	-0.051 	-0.512 	-0.096 	0.964 	1.640
4.230 	0.524 	-0.038 	-0.522 	-0.052 	0.714 	1.580
2.620 	0.517 	-0.024 	-0.517 	-0.020 	0.443 	1.510
1.090 	0.524 	-0.010 	-0.524 	-0.004 	0.185 	1.500
-0.458 	0.514 	0.004 	-0.514 	-0.001 	-0.078 	1.460
-2.510 	0.525 	0.023 	-0.524 	-0.019 	-0.425 	1.530
-4.000 	0.512 	0.036 	-0.510 	-0.048 	-0.675 	1.540
-5.580 	0.513 	0.050 	-0.510 	-0.092 	-0.939 	1.620
-7.240 	0.517 	0.064 	-0.513 	-0.151 	-1.210 	1.740
-8.660 	0.503 	0.075 	-0.497 	-0.219 	-1.440 	1.820
-9.920 	0.482 	0.085 	-0.475 	-0.293 	-1.640 	1.890
-11.6	0.485 	0.097 	-0.475 	-0.392 	-1.920 	2.080
-13.2	0.477 	0.107 	-0.465 	-0.497 	-2.150 	2.250
-14.6	0.464 	0.115 	-0.450 	-0.606 	-2.370 	2.420
-15.6	0.442 	0.120 	-0.425 	-0.708 	-2.520 	2.540
-17	0.428 	0.125 	-0.409 	-0.830 	-2.710 	2.730
-18.3	0.412 	0.129 	-0.391 	-0.954 	-2.890 	2.920
-19.9	0.402 	0.134 	-0.379 	-1.100 	-3.110 	3.180
-20.3	0.369 	0.130 	-0.346 	-1.180 	-3.140 	3.250
-21.5	0.353 	0.131 	-0.328 	-1.320 	-3.300 	3.470
-23.1	0.342 	0.133 	-0.315 	-1.480 	-3.510 	3.770
-23.8	0.316 	0.127 	-0.289 	-1.580 	-3.570 	3.900
-24.5	0.292 	0.122 	-0.265 	-1.680 	-3.650 	4.060
-25.8	0.274 	0.118 	-0.247 	-1.820 	-3.810 	4.320
-26.5	0.249 	0.111 	-0.224 	-1.920 	-3.880 	4.470
-27.5	0.227 	0.103 	-0.202 	-2.040 	-3.990 	4.680
-27.4	0.197 	0.091 	-0.174 	-2.070 	-3.950 	4.700
-28.4	0.175 	0.083 	-0.154 	-2.190 	-4.070 	4.910
-29.3	0.151 	0.073 	-0.132 	-2.280 	-4.170 	5.090
-29.6	0.124 	0.060 	-0.108 	-2.330 	-4.190 	5.170
-29.9	0.097 	0.048 	-0.085 	-2.380 	-4.210 	5.250
-29.2	0.068 	0.034 	-0.059 	-2.340 	-4.100 	5.150
-30.2	0.043 	0.021 	-0.037 	-2.430 	-4.230 	5.330
-30.2	0.015 	0.007 	-0.013 	-2.440 	-4.230 	5.350
-29.9	0.008 	-0.004 	0.007 	-2.420 	-4.190 	5.290
-30.1	0.037 	-0.019 	0.032 	-2.430 	-4.210 	5.310
-30.1	0.065 	-0.032 	0.056 	-2.420 	-4.230 	5.310
-29.5	0.091 	-0.045 	0.079 	-2.350 	-4.160 	5.180
-29.6	0.119 	-0.058 	0.103 	-2.340 	-4.180 	5.180
-28.7	0.143 	-0.069 	0.125 	-2.250 	-4.080 	5.000
-28.3	0.169 	-0.080 	0.149 	-2.190 	-4.050 	4.900
-27.4	0.191 	-0.089 	0.169 	-2.080 	-3.940 	4.700
-26.8	0.216 	-0.099 	0.192 	-2.000 	-3.890 	4.580
